centroid_row,atlas_id,atlas_namespace,context,cluster_id,n_members
0,zscreen_original_graph_v1:zel024_h1650:14,zscreen_original_graph_v1,zel024_h1650,14,12
1,zscreen_original_graph_v1:zel024_h1650:21,zscreen_original_graph_v1,zel024_h1650,21,4
2,zscreen_original_graph_v1:zel024_h1650:50,zscreen_original_graph_v1,zel024_h1650,50,4
3,zscreen_original_graph_v1:zel024_h1650:57,zscreen_original_graph_v1,zel024_h1650,57,4
4,zscreen_original_graph_v1:zel024_h1650:195,zscreen_original_graph_v1,zel024_h1650,195,3
5,zscreen_original_graph_v1:zel024_h1650:209,zscreen_original_graph_v1,zel024_h1650,209,17
6,zscreen_original_graph_v1:zel024_h1650:212,zscreen_original_graph_v1,zel024_h1650,212,3
7,zscreen_original_graph_v1:zel024_h1650:246,zscreen_original_graph_v1,zel024_h1650,246,3
8,zscreen_original_graph_v1:zel024_h1650:357,zscreen_original_graph_v1,zel024_h1650,357,3
9,zscreen_original_graph_v1:zel024_h1650:392,zscreen_original_graph_v1,zel024_h1650,392,6
10,zscreen_original_graph_v1:zel024_h1650:412,zscreen_original_graph_v1,zel024_h1650,412,4
11,zscreen_original_graph_v1:zel024_h1650:632,zscreen_original_graph_v1,zel024_h1650,632,6
12,zscreen_original_graph_v1:zel024_h1650:708,zscreen_original_graph_v1,zel024_h1650,708,4
13,zscreen_original_graph_v1:zel024_h1650:815,zscreen_original_graph_v1,zel024_h1650,815,3
14,zscreen_original_graph_v1:zel024_h1650:860,zscreen_original_graph_v1,zel024_h1650,860,6
15,zscreen_original_graph_v1:zel024_h1650:869,zscreen_original_graph_v1,zel024_h1650,869,3
16,zscreen_original_graph_v1:zel024_h1650:1002,zscreen_original_graph_v1,zel024_h1650,1002,4
17,zscreen_original_graph_v1:zel024_h1650:1031,zscreen_original_graph_v1,zel024_h1650,1031,3
18,zscreen_original_graph_v1:zel024_h1650:1203,zscreen_original_graph_v1,zel024_h1650,1203,3
19,zscreen_original_graph_v1:zel024_h1650:1279,zscreen_original_graph_v1,zel024_h1650,1279,3
20,zscreen_original_graph_v1:zel024_h1650:1292,zscreen_original_graph_v1,zel024_h1650,1292,6
21,zscreen_original_graph_v1:zel024_h1650:1301,zscreen_original_graph_v1,zel024_h1650,1301,3
22,zscreen_original_graph_v1:zel024_h1650:1462,zscreen_original_graph_v1,zel024_h1650,1462,3
23,zscreen_original_graph_v1:zel024_h1650:1522,zscreen_original_graph_v1,zel024_h1650,1522,4
24,zscreen_original_graph_v1:zel024_h1650:1561,zscreen_original_graph_v1,zel024_h1650,1561,3
25,zscreen_original_graph_v1:zel024_h1650:1588,zscreen_original_graph_v1,zel024_h1650,1588,4
26,zscreen_original_graph_v1:zel024_h1650:1597,zscreen_original_graph_v1,zel024_h1650,1597,3
27,zscreen_original_graph_v1:zel024_h1650:2235,zscreen_original_graph_v1,zel024_h1650,2235,3
28,zscreen_original_graph_v1:zel024_h1650:2298,zscreen_original_graph_v1,zel024_h1650,2298,4
29,zscreen_original_graph_v1:zel024_h1650:2559,zscreen_original_graph_v1,zel024_h1650,2559,3
30,zscreen_original_graph_v1:zel024_h1650:2592,zscreen_original_graph_v1,zel024_h1650,2592,5
31,zscreen_original_graph_v1:zel024_h1650:2627,zscreen_original_graph_v1,zel024_h1650,2627,5
32,zscreen_original_graph_v1:zel024_h1650:2640,zscreen_original_graph_v1,zel024_h1650,2640,3
33,zscreen_original_graph_v1:zel024_h1650:2671,zscreen_original_graph_v1,zel024_h1650,2671,4
34,zscreen_original_graph_v1:zel024_h1650:2724,zscreen_original_graph_v1,zel024_h1650,2724,3
35,zscreen_original_graph_v1:zel024_h1650:2913,zscreen_original_graph_v1,zel024_h1650,2913,5
36,zscreen_original_graph_v1:zel024_h1650:3354,zscreen_original_graph_v1,zel024_h1650,3354,3
37,zscreen_original_graph_v1:zel024_h1650:4076,zscreen_original_graph_v1,zel024_h1650,4076,4
38,zscreen_original_graph_v1:zel024_h1650:4245,zscreen_original_graph_v1,zel024_h1650,4245,4
39,zscreen_original_graph_v1:zel024_hek293:40,zscreen_original_graph_v1,zel024_hek293,40,45
40,zscreen_original_graph_v1:zel024_hek293:69,zscreen_original_graph_v1,zel024_hek293,69,3
41,zscreen_original_graph_v1:zel024_hek293:70,zscreen_original_graph_v1,zel024_hek293,70,101
42,zscreen_original_graph_v1:zel024_hek293:77,zscreen_original_graph_v1,zel024_hek293,77,13
43,zscreen_original_graph_v1:zel024_hek293:99,zscreen_original_graph_v1,zel024_hek293,99,3
44,zscreen_original_graph_v1:zel024_hek293:112,zscreen_original_graph_v1,zel024_hek293,112,66
45,zscreen_original_graph_v1:zel024_hek293:136,zscreen_original_graph_v1,zel024_hek293,136,121
46,zscreen_original_graph_v1:zel024_hek293:150,zscreen_original_graph_v1,zel024_hek293,150,8
47,zscreen_original_graph_v1:zel024_hek293:199,zscreen_original_graph_v1,zel024_hek293,199,3
48,zscreen_original_graph_v1:zel024_hek293:228,zscreen_original_graph_v1,zel024_hek293,228,5
49,zscreen_original_graph_v1:zel024_hek293:245,zscreen_original_graph_v1,zel024_hek293,245,12
50,zscreen_original_graph_v1:zel024_hek293:266,zscreen_original_graph_v1,zel024_hek293,266,4
51,zscreen_original_graph_v1:zel024_hek293:321,zscreen_original_graph_v1,zel024_hek293,321,4
52,zscreen_original_graph_v1:zel024_hek293:332,zscreen_original_graph_v1,zel024_hek293,332,3
53,zscreen_original_graph_v1:zel024_hek293:352,zscreen_original_graph_v1,zel024_hek293,352,9
54,zscreen_original_graph_v1:zel024_hek293:370,zscreen_original_graph_v1,zel024_hek293,370,4
55,zscreen_original_graph_v1:zel024_hek293:415,zscreen_original_graph_v1,zel024_hek293,415,3
56,zscreen_original_graph_v1:zel024_hek293:490,zscreen_original_graph_v1,zel024_hek293,490,5
57,zscreen_original_graph_v1:zel024_hek293:508,zscreen_original_graph_v1,zel024_hek293,508,6
58,zscreen_original_graph_v1:zel024_hek293:510,zscreen_original_graph_v1,zel024_hek293,510,5
59,zscreen_original_graph_v1:zel024_hek293:518,zscreen_original_graph_v1,zel024_hek293,518,36
